Movie Name,Director,Year,Jump Count,Jump Scare Rating,Netflix (US),IMDB Rating,Primary Actor,Movie Rating,Duration
Misery,Rob Reiner,1990,3,0.5,No,7.8,Kathy Bates,R ,107
Jacob’s Ladder,Adrian Lyne,1990,4,1,No,7.5,#N/A,R,113
Tremors,Ron Underwood,1990,16,2.5,No,7.1,Kevin Bacon,PG-13,96
Alien,Ridley Scott,1979,11,2.5,No,8.5,Sigourney Weaver,R ,117
Psycho,Alfred Hitchcock,1960,2,0.5,No,8.5,Anthony Perkins,R ,109
Aliens,James Cameron,1986,13,3,No,8.4,Sigourney Weaver,R,138
The Shining,Stanley Kubrick,1980,3,0.5,Yes,8.4,Jack Nicholson,R ,145
Flatliners,Joel Schumacher,1990,7,2,Yes,6.6,Ellen Page,PG-13,108
The Exorcist III,William Peter Blatty,1990,11,2.5,No,6.4,George C. Scott,R,109
The Silence of the Lambs,Jonathan Demme,1991,0,0,No,8.6,Jodie Foster,R ,118
Cape Fear,Martin Scorsese,1991,4,1.5,No,7.3,Robert Mitchum,NR,106
The Thing,John Carpenter,1982,7,2,No,8.2,Joel Edgerton,R ,103
The People Under the Stairs,Wes Craven,1991,13,3,No,6.4,Brandon Quintin Adams,R,102
Army of Darkness – Director Cut,Sam Raimi,1992,8,2,No,7.5,#N/A,R,81
Dead Alive,Peter Jackson,1992,3,1,No,7.5,Timothy Balme,R ,101
Bram Stoker’s Dracula,Francis Ford Coppola,1992,1,0.5,No,7.4,#N/A,R,128
Candyman,Bernard Rose,1992,16,4,No,6.6,Virginia Madsen,R,99
Alien 3,David Fincher,1992,14,2.5,No,6.4,#N/A,R,114
Jaws,Steven Spielberg,1975,4,2.5,No,8,Roy Scheider,PG ,124
Army of Darkness – Theatrical Cut,Sam Raimi,1992,9,2,No,0,#N/A,R,0
Rosemary’s Baby,Roman Polanski,1968,0,0,No,8,#N/A,R,137
Jurassic Park,Steven Spielberg,1993,9,2.5,No,8.1,Richard Attenborough,PG-13,126
The Exorcist,William Friedkin,1973,10,1.5,No,8,Linda Blair,R ,122
Malice,Harold Becker,1993,3,1,No,6.4,Alec Baldwin,R,107
Interview With the Vampire,Neil Jordan,1994,6,2,No,7.6,Tom Cruise,R ,122
Halloween,John Carpenter,1978,13,2.5,No,7.9,Malcolm McDowell,R ,109
In The Mouth Of Madness,John Carpenter,1994,10,3,No,7.2,Sam Neill,R,94
Wes Craven’s New Nightmare,Wes Craven,1994,11,2.5,No,6.4,#N/A,R,112
The Conversation,Francis Ford Coppola,1974,1,0.5,No,7.9,Gene Hackman,PG ,113
Seven,David Fincher,1995,1,0.5,No,8.6,#N/A,R,127
Evil Dead II,Sam Raimi,1987,27,4,No,7.8,#N/A,R,84
Lord of Illusions,Clive Barker,1995,15,4,No,6.1,Scott Bakula,R ,108
Species,Roger Donaldson,1995,7,3,No,5.8,Ben Kingsley,R ,108
Ringu: Kanzenban,Chisui Takigawa,1995,2,0.5,No,0,#N/A,R,0
Predator,John McTiernan,1987,7,2,No,7.8,Arnold Schwarzenegger,R ,107
Thesis,Alejandro Amenábar,1996,3,0.5,No,7.4,Eduardo Noriega,R,125
Scream,Wes Craven,1996,19,3.5,No,7.2,David Arquette,R,111
The Craft,Andrew Fleming,1996,4,1,No,6.2,Robin Tunney,R ,101
Wait Until Dark,Terence Young,1967,1,0.5,No,7.8,Audrey Hepburn,NR,108
Eyes Without a Face,Georges Franju,1960,1,0.5,No,7.7,Pierre Brasseur,NR,84
Cube,Vincenzo Natali,1997,1,0.5,No,7.3,Nicole de Boer,R ,90
Hour of the Wolf,Ingmar Bergman,1968,1,0.5,No,7.7,#N/A,R,90
Kuroneko,Kaneto Shindō,1968,1,0.5,No,7.7,#N/A,R,99
Repulsion,Roman Polanski,1965,7,2.5,No,7.7,Catherine Deneuve,NR,104
Event Horizon,Paul W.S. Anderson,1997,11,3,No,6.7,Laurence Fishburne,R ,95
Funny Games,Michael Haneke,1997,1,0.5,No,6.5,Susanne Lothar,NR,108
Alien: Resurrection,Jean-Pierre Jeunet,1997,9,3,No,6.3,#N/A,R,109
Scream 2,Wes Craven,1997,19,4,No,6.1,Neve Campbell,R,120
I Know What You Did Last Summer,Jim Gillespie,1997,13,3.5,Yes,5.6,Jennifer Love Hewitt,R ,101
An American Werewolf in Paris,Anthony Waller,1997,11,2.5,No,5.1,#N/A,R,105
Deep Red,Dario Argento,1975,7,1.5,No,7.6,#N/A,R,127
Anaconda,Luis Llosa,1997,9,2,No,4.6,Jennifer Lopez,PG-13,89
Blade,Stephen Norrington,1998,1,1,No,7.1,Wesley Snipes,R ,121
The Abyss,James Cameron,1989,2,0.5,No,7.6,#N/A,R,171
The Evil Dead,Sam Raimi,1981,22,4,No,7.6,Bruce Campbell,R ,85
The Fly,David Cronenberg,1986,2,0.5,No,7.6,Patricia Owens,NR,94
The Faculty,Robert Rodriguez,1998,11,3,No,6.4,Jordana Brewster,R ,104
The Omen,Richard Donner,1976,1,0.5,No,7.6,Gregory Peck,R,111
Sphere,Barry Levinson,1998,4,1,Yes,6,Dustin Hoffman,PG-13,152
Halloween H20: 20 Years Later,Steve Miner,1998,16,3.5,No,5.8,#N/A,R,86
Urban Legend,Jamie Blanks,1998,17,4,No,5.5,Alicia Witt,R ,100
A Nightmare on Elm Street,Wes Craven,1984,11,2.5,No,7.5,Rooney Mara,R ,96
Bride of Chucky,Ronny Yu,1998,11,2,No,5.3,Jennifer Tilly,R ,89
An American Werewolf in London,John Landis,1981,14,3,No,7.5,David Naughton,R,97
The Last Broadcast,"Stefan Avalos, Lance Weiler",1998,1,0.5,No,5.3,#N/A,R,86
Ring,Hideo Nakata,1998,5,2,No,0,#N/A,R,0
Spiral,George Iida,1998,1,0.5,No,0,Joel David Moore,PG-13,90
The Sixth Sense,M. Night Shyamalan,1999,8,1.5,Yes,8.1,Haley Joel Osment,PG-13,105
Sleepy Hollow,Tim Burton,1999,1,0.5,No,7.5,Johnny Depp,R ,105
Audition,Takashi Miike,1999,1,0.5,No,7.2,#N/A,R,115
Ravenous,Antonia Bird,1999,4,1,No,7.1,Guy Pearce,R ,100
The Texas Chain Saw Massacre,Tobe Hooper,1974,2,1,No,7.5,#N/A,R,83
Stir of Echoes,David Koepp,1999,9,3,No,7,Kevin Bacon,R ,99
The Wicker Man,Robin Hardy,1973,4,0.5,No,7.5,Nicolas Cage,PG-13,106
The Ninth Gate,Roman Polanski,1999,0,0,No,6.7,Johnny Depp,R ,133
The Blair Witch Project,Daniel Myrick & Eduardo Sánchez,1999,0,0,No,6.4,Heather Donahue,R ,84
Idle Hands,Rodman Flender,1999,10,3,No,6.2,Devon Sawa,R,92
The Ring Virus,Kim Dong-bin,1999,3,0.5,No,6.1,#N/A,R,108
Eraserhead,David Lynch,1977,2,0.5,No,7.4,Jack Nance,R,89
Invasion of the Body Snatchers,Philip Kaufman,1978,4,1,No,7.4,Kevin McCarthy,PG,80
Poltergeist,Tobe Hooper,1982,9,1,Yes,7.4,Sam Rockwell,PG-13,93
Ringu 2,Hideo Nakata,1999,1,0.5,No,6,#N/A,R,95
Deep Blue Sea,Renny Harlin,1999,10,2.5,No,5.8,Samuel L. Jackson,R ,100
House on Haunted Hill,William Malone,1999,14,3,No,5.6,Vincent Price,NR,74
Lake Placid,Steve Miner,1999,12,2.5,No,5.6,Bill Pullman,R ,92
Final Destination,James Wong,2000,4,2,Yes,6.7,Devon Sawa,R ,98
What Lies Beneath,Robert Zemeckis,2000,16,3,No,6.6,Michelle Pfeiffer,PG-13,130
Scary Movie,Keenen Ivory Wayans,2000,8,1.5,No,6.2,Marlon Wayans,R,88
Uzumaki,Higuchinsky,2000,15,3,No,6.2,#N/A,R,90
Ringu 0: Birthday,Norio Tsuruta,2000,0,0,No,5.9,#N/A,R,99
Hollow Man,Paul Verhoeven,2000,9,2.5,No,5.7,Kevin Bacon,R ,112
Scream 3,Wes Craven,2000,23,4,No,5.5,Neve Campbell,R ,116
Hannibal,Ridley Scott,2001,2,0.5,No,8.6,Anthony Hopkins,R ,131
The Return of the Living Dead,Dan O’Bannon,1985,1,0.5,No,7.3,Clu Gulager,R ,90
Donnie Darko,Richard Kelly,2001,3,1,No,8.1,Jake Gyllenhaal,R,113
Mulholland Drive,David Lynch,2001,1,1,No,8,Laura Harring,R ,147
The Others,Alejandro Amenábar,2001,4,2,No,7.6,Nicole Kidman,PG-13,105
The Devil’s Backbone,Guillermo del Toro,2001,4,1.5,No,7.4,#N/A,R,106
Day of the Dead,George A. Romero,1985,10,3,No,7.2,Ving Rhames,R ,87
Don’t Look Now,Nicolas Roeg,1973,1,0.5,No,7.2,#N/A,R,110
Gremlins,Joe Dante,1984,17,3.5,No,7.2,Zach Galligan,PG,120
Frailty,Bill Paxton,2001,0,0,No,7.3,Bill Paxton,R ,99
Joy Ride,John Dahl,2001,2,0.5,No,6.6,Steve Zahn,R ,96
Session 9,Brad Anderson,2001,0,0,No,6.5,#N/A,R,97
Re-Animator,Stuart Gordon,1985,4,1,No,7.2,Jeffrey Combs,R,86
Jeepers Creepers,Victor Salva,2001,11,3.5,No,6.1,Justin Long,R ,89
The Hole,Nick Hamm,2001,3,0.5,No,5.7,Chris Massoglia,PG-13,98
The Changeling,Peter Medak,1980,7,2,No,7.2,#N/A,R,107
Thirteen Ghosts,Steve Beck,2001,17,3,No,5.6,#N/A,R,91
Scary Movie 2,Keenen Ivory Wayans,2001,8,1.5,Yes,5.2,#N/A,R,83
28 Days Later,Danny Boyle,2002,10,3,No,7.6,Cillian Murphy,R ,108
Bubba Ho-Tep,Don Cascarelli,2002,9,0.5,No,7.2,Bruce Campbell,R ,92
Red Dragon,Brett Ratner,2002,6,2,No,7.2,Anthony Hopkins,R ,125
The Ring,Gore Verbinski,2002,9,2.5,No,7.1,Naomi Watts,PG-13,115
Dog Soldiers,Neil Marshall,2002,13,3,No,6.8,#N/A,R,105
One Hour Photo,Mark Romanek,2002,1,0.5,No,6.8,Robin Williams,R ,98
May,Lucky McKee,2002,0,0,No,6.7,Angela Bettis,R ,94
Resident Evil,Paul W.S. Anderson,2002,7,2.5,No,6.7,Milla Jovovich,R ,100
Signs,M. Night Shyamalan,2002,8,2,No,6.7,Mel Gibson,PG-13,106
The Mothman Prophecies,Mark Pellington,2002,4,1,No,6.5,Richard Gere,PG-13,119
Below,David Twohy,2002,11,3,No,6.1,Matthew Davis,R ,105
Ghost Ship,Steve Beck,2002,12,3,Yes,5.5,Gabriel Byrne,R ,91
The Eye,"Danny Pang, Oxide Chun Pang",2002,5,2,No,5.4,Jessica Alba,PG-13,97
Cabin Fever,Eli Roth,2002,10,2.5,No,3.7,Gage Golightly,R ,99
The Texas Chainsaw Massacre,Marcus Nispel,2003,16,3,No,7.5,Gunnar Hansen,R ,83
Identity,James Mangold,2003,11,2.5,No,7.3,John Cusack,R ,90
A Tale of Two Sisters,Jee-woon Kim,2003,14,3,No,7.2,Su-jeong Lim,R ,114
Dead End,"Jean-Baptiste Andrea, Fabrice Canepa",2003,9,2.5,No,7.1,Ramez Alkhoury,NOT RATED,95
High Tension,Alexandre Aja,2003,8,2.5,No,6.8,#N/A,R,91
Final Destination 2,David R. Ellis,2003,3,1,Yes,6.2,Ali Larter,R ,90
Wrong Turn,Rob Schmidt,2003,13,3,No,6.1,Desmond Harrington,R ,95
House of 1000 Corpses,Rob Zombie,2003,6,2.5,No,6,Sid Haig,R ,88
Freddy vs. Jason,Ronny Yu,2003,24,4,No,5.8,Robert Englund,R ,97
Gothika,Mathieu Kassovitz,2003,16,3.5,Yes,5.8,Halle Berry,R ,98
Hellraiser,Clive Barker,1987,5,2,No,7,Sean Chapman,R ,94
Dreamcatcher,Lawrence Kasdan,2003,16,3,No,5.5,Thomas Jane,R ,134
Darkness Falls,Jonathan Liebesman,2003,19,4,No,4.9,Chaney Kley,PG-13,86
Shaun of the Dead,Edgar Wright,2004,13,2.5,No,8,Simon Pegg,R ,97
Saw,James Wan,2004,5,2,No,7.7,Leigh Whannell,R ,103
The Butterfly Effect,"Eric Bress, J. Mackye Gruber",2004,4,1,No,7.7,Ashton Kutcher,R ,113
Dawn of the Dead,Zack Snyder,2004,10,2,No,7.4,Sarah Polley,R ,109
Hellboy,Guillermo del Toro,2004,6,1.5,No,6.8,Ron Perlman,PG-13,122
Secret Window,David Koepp,2004,10,2,No,6.6,Johnny Depp,PG-13,95
The Village,M. Night Shyamalan,2004,4,1,No,6.5,Bryce Dallas Howard,PG-13,109
Creep,Christopher Smith,2004,9,3,No,6.2,Mark Duplass,R ,80
Van Helsing,Stephen Sommers,2004,3,0.5,No,6.1,Hugh Jackman,PG-13,145
The Grudge,Takashi Shimizu,2004,23,4,No,5.9,Sarah Michelle Gellar,PG-13,91
Shutter,"Banjong Pisanthanakun, Parkpoom Wongpoom",2004,11,4,Yes,5.2,Ananda Everingham,R,95
Altered States,Ken Russell,1980,2,0.5,No,6.9,William Hurt,R ,102
The Forgotten,Joseph Ruben,2004,7,3,No,5.2,Julianne Moore,PG-13,91
Exorcist: The Beginning,Renny Harlin,2004,17,4,No,5.1,Cast Not Available,R ,114
Anacondas: The Hunt for Blood Orchid,Dwight H. Little,2004,7,3,No,4.7,#N/A,R,97
The Descent,Neil Marshall,2005,16,4,No,7.2,Shauna Macdonald,R ,99
The Jacket,John Maybury,2005,6,1.5,No,7.1,Adrien Brody,R ,102
Wolf Creek,Greg McLean,2005,0,0,No,7.1,John Jarratt,R ,98
Noroi: The Curse,Kôji Shiraishi,2005,4,1,No,7,#N/A,R,115
The Devil’s Rejects,Rob Zombie,2005,0,0,No,6.8,#N/A,R,107
The Exorcism of Emily Rose,Scott Derrickson,2005,9,2.5,No,6.7,Laura Linney,PG-13,114
Saw II,Darren Lynn Bousman,2005,5,1,No,6.6,Tobin Bell,R ,92
The Skeleton Key,Iain Softley,2005,11,3,No,6.5,Kate Hudson,PG-13,104
Dead Calm,Phillip Noyce,1989,2,1,No,6.8,Sam Neill,R ,97
The Amityville Horror,Andrew Douglas,2005,17,4,No,6,Ryan Reynolds,R ,89
Hide and Seek,John Polson,2005,16,3.5,No,5.9,Robert De Niro,R ,101
Hostel,Eli Roth,2005,2,0.5,No,5.9,Jay Hernandez,R ,94
Dark Water,Walter Salles,2005,7,2,No,5.6,Hitomi Kuroki,PG-13,100
The Ring Two,Hideo Nakata,2005,11,3,No,5.4,Naomi Watts,PG-13,110
House of Wax,Jaume Collet-Serra,2005,16,4,No,5.3,Vincent Price,PG,88
Doom,Andrzej Bartkowiak,2005,15,3.5,Yes,5.2,Dwayne Johnson,R ,104
Phantasm,Don Coscarelli,1979,14,3,No,6.8,A. Michael Baldwin,R,88
Pan’s Labyrinth,Guillermo del Toro,2006,6,1.5,No,8.2,#N/A,R,118
Inland Empire,David Lynch,2006,8,2.5,No,6.9,#N/A,R,180
Silent Hill,Christophe Gans,2006,7,1.5,No,6.6,Radha Mitchell,R ,125
Slither,James Gunn,2006,10,3,No,6.5,Nathan Fillion,R,96
Suspiria,Dario Argento,1977,6,1.5,No,6.8,#N/A,R,152
The Hills Have Eyes,Alexandre Aja,2006,9,2.5,No,6.4,Emilie De Ravin,R ,95
Them,"David Moreau, Xavier Palud",2006,16,4,No,6.4,Olivia Bonamy,R ,76
Saw III,Darren Lynn Bousman,2006,5,1.5,No,6.2,Tobin Bell,R ,108
The Texas Chainsaw Massacre: The Beginning,Jonathan Liebesman,2006,17,3.5,Yes,5.9,Jordana Brewster,R ,84
The Fog,John Carpenter,1980,16,3.5,No,6.8,Tom Welling,PG-13,100
Final Destination 3,James Wong,2006,5,1,Yes,5.8,Mary Elizabeth Winstead,R ,93
Forbidden Siren,Yukihiko Tsutsumi,2006,5,1,No,0,#N/A,R,87
Halloween,Rob Zombie,2007,9,3,No,7.9,Malcolm McDowell,R ,109
Zodiac,David Fincher,2007,3,0.5,No,7.7,Jake Gyllenhaal,R ,157
[Rec],"Jaume Balagueró, Paco Plaza",2007,11,3.5,No,7.5,Manuela Velasco,R ,78
The Orphanage,J.A. Bayona,2007,6,1.5,No,7.5,Beln Rueda,R ,105
Sunshine,Danny Boyle,2007,6,1.5,No,7.3,Ralph Fiennes,R ,180
I Am Legend,Francis Lawrence,2007,9,2.5,No,7.2,Will Smith,PG-13,100
The Mist,Frank Darabont,2007,5,1,No,7.2,Thomas Jane,R ,125
Timecrimes,Nacho Vigalondo,2007,3,0.5,No,7.2,#N/A,R,92
Planet Terror,Robert Rodriguez,2007,14,2.5,No,7.1,#N/A,R,105
28 Weeks Later,Juan Carlos Fresnadillo,2007,17,3.5,No,7,#N/A,R,100
Disturbia,D.J. Caruso,2007,13,3,No,6.9,Shia LaBeouf,PG-13,104
Prince of Darkness,John Carpenter,1987,7,2.5,No,6.7,Donald Pleasence,R ,102
1408,Mikael Håfström,2007,8,3,No,6.8,John Cusack,PG-13,94
Trick ‘r Treat,Michael Dougherty,2007,6,2.5,No,6.8,#N/A,R,82
30 Days of Night,David Slade,2007,9,2.5,No,6.6,Josh Hartnett,R ,113
The Messengers,"Danny Pang, Oxide Chun Pang",2007,27,4.5,No,6.6,Kristen Stewart,PG-13,90
Funny Games,Michael Haneke,2007,1,0.5,No,6.5,Susanne Lothar,NR,108
The Number 23,Joel Schumacher,2007,3,0.5,No,6.4,Jim Carrey,R ,98
Paranormal Activity,Oren Peli,2007,10,3.5,No,6.3,Katie Featherston,R ,86
Dead Silence,James Wan,2007,15,4,No,6.2,Ryan Kwanten,R ,90
Hannibal Rising,Peter Webber,2007,0,0,No,6.2,Gaspard Ulliel,R ,121
Vacancy,Nimród Antal,2007,12,2.5,No,6.2,Luke Wilson,R ,85
The Poughkeepsie Tapes,John Erick Dowdle,2007,4,1,No,6.1,#N/A,R,81
P2,Franck Khalfoun,2007,16,4,No,5.9,Rachel Nichols,R ,98
Saw IV,Darren Lynn Bousman,2007,6,1.5,No,5.9,Tobin Bell,R ,92
Wind Chill,Gregory Jacobs,2007,13,3,No,5.8,Emily Blunt,R ,91
A Nightmare on Elm Street 3: Dream Warriors,Chuck Russell,1987,11,2.5,No,6.6,Robert Englund,R ,96
Hostel: Part II,Eli Roth,2007,5,1,No,5.4,#N/A,R,94
Inside,"Alexandre Bustillo, Julien Maury",2007,4,1,No,4.3,Rachel Nichols,NR,100
Alone,"Banjong Pisanthanakun, Parkpoom Wongpoom",2007,21,4.5,No,3.7,Bipasha Basu,NOT RATED,133
Let The Right One In,Tomas Alfredson,2008,2,0.5,No,7.9,Kre Hedebrant,R ,114
Cloverfield,Matt Reeves,2008,7,2,No,7,Lizzy Caplan,PG-13,84
Eden Lake,James Watkins,2008,3,1,No,6.8,Kelly Reilly,R ,90
Pontypool,Bruce McDonald,2008,1,0.5,No,6.7,Stephen McHattie,PG,95
Mirrors,Alexandre Aja,2008,15,4,No,6.2,Kiefer Sutherland,R ,110
Lake Mungo,Joel Anderson,2008,1,0.5,No,6.1,Talia Zucker,R ,87
Splinter,Toby Wilkins,2008,10,3,No,6.1,Tom Sizemore,R ,96
The Midnight Meat Train,Ryûhei Kitamura,2008,1,0.5,No,6.1,Bradley Cooper,R ,98
Quarantine,John Erick Dowdle,2008,14,3.5,No,6,Jennifer Carpenter,R ,89
The Strangers,Bryan Bertino,2008,16,4.5,No,6,Liv Tyler,R ,85
Saw V,David Hackl,2008,5,1,No,5.8,Tobin Bell,R ,95
Pet Sematary,Mary Lambert,1989,13,3.5,No,6.6,Dale Midkiff,R ,103
The Happening,M. Night Shyamalan,2008,1,0.5,No,5,Mark Wahlberg,R ,90
